ci,na,co,lo,la,z
"Abbotsford, BC",(GMT-08:00) Pacific Time (US & Canada); Tijuana,Canada,49.06638718,-122.3000031,Pacific Standard Time
Aberdeen,"(GMT) Dublin, Edinburgh, Lisbon, London",United Kingdom,57.15000153,-2.099999905,GMT Standard Time
Abidjan,(GMT) Greenwich Mean Time,Cote d'Ivoire,5.336389065,-4.027777672,Greenwich Standard Time
Abu Dhabi,"(GMT+04:00) Abu Dhabi, Muscat",United Arab Emirates,24.48333359,54.36666489,Arabian Standard Time
Abuja,(GMT+01:00) West Central Africa,Nigeria,9.083333015,7.533333302,W. Central Africa Standard Time
Acapulco,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,16.83888817,-99.90972137,Mexico Standard Time
Accra,(GMT) Greenwich Mean Time,Ghana,5.55583334,-0.196388885,Greenwich Standard Time
"Adak, AK",(GMT-10:00) Adak,United States,51.86639023,-176.6497192,Hawaii-Aleutian Standard Time
Addis Ababa,(GMT+03:00) Nairobi,Ethiopia,9.033333778,38.70000076,E. Africa Standard Time
Adelaide,(GMT+09:30) Adelaide,Australia,-34.93333435,138.6000061,Cen. Australia Standard Time
Aden,"(GMT+03:00) Kuwait, Riyadh",Yemen,12.78333378,45.03333282,Arab Standard Time
Agra,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,27.18333244,78,India Standard Time
Ahmedabad,"(GMT+05:30) Chennai, Kolkata, Mumbai, New Delhi",India,23.03972244,72.56694794,India Standard Time
Akita,"(GMT+09:00) Osaka, Sapporo, Tokyo",Japan,39.75,140.0833282,Tokyo Standard Time
"Aklavik, NT",(GMT-07:00) Mountain Time (US & Canada),Canada,68.21666718,-135,Mountain Standard Time
"Akron, OH",(GMT-05:00) Eastern Time (US & Canada),United States,41.08333206,-81.51667023,Eastern Standard Time
Akumal,"(GMT-06:00) Guadalajara, Mexico City, Monterrey",Mexico,20.39666748,-87.31361389,Mexico Standard Time
Al Ahsa,"(GMT+03:00) Kuwait, Riyadh",Saudi Arabia,25.39638901,49.6016655,Arab Standard Time
Al Ain,"(GMT+04:00) Abu Dhabi, Muscat",United Arab Emirates,24.22583389,55.74416733,Arabian Standard Time
Al Jahra,"(GMT+03:00) Kuwait, Riyadh",Kuwait,29.33333397,47.70000076,Arab Standard Time
Alacati,(GMT+02:00) Turkey,Turkey,38.27999878,26.37388802,Turkey Standard Time
Alajuela,(GMT-06:00) Central America,Costa Rica,10.01666641,-84.21666718,Central America Standard Time
